opponent,total_matches,wins,losses,draws
"Ovsejevitsch,S",1,0,0,1
"Palo,D",1,0,0,1
"Ter Sahakyan,S",1,0,0,1
"Pantzar,Milton",1,0,0,1
"Nygren,K",1,0,0,1
"Trimitzios,Petros",1,0,0,1
"Yakovich,Y",1,0,0,1
"Zhu,Jiner",1,0,0,1
"Womacka,M",1,0,0,1
"Murzin,Volodar",1,0,0,1
"Musaev,Ra",1,0,0,1
"Nakamura,H",1,0,0,1
"Westerinen,H",1,0,0,1
"Weighell,M",1,0,0,1
"Vovk,Y",1,0,0,1
"Volkov,S1",1,0,0,1
"Vocaturo,D",1,0,0,1
"Vajda,L",1,0,0,1
"Vajda,Al1",1,0,0,1
"Nunn,J",1,0,0,1
Ni Hua,1,0,0,1
"Vaibhav,S",1,0,0,1
"Tukhaev,A",1,0,0,1
"Nikolic,Pr",1,0,0,1
"Nilssen,J",1,0,0,1
"Papa,S",1,0,0,1
"Tregubov,P",1,0,0,1
"Nordahl,H",1,0,0,1
"Norri,J",1,0,0,1
Tran Tuan Minh,1,0,0,1
"Yilmaz,M",1,0,0,1
"Yudin,S",1,0,0,1
"Pavasovic,D",1,0,0,1
"Rosenthal,Nicholas",1,0,0,1
"Socko,M",1,0,0,1
"Smirnov,P",1,0,0,1
"Smirnov,Ant",1,0,0,1
Zhao Xue,1,0,0,1
"Smirin,I",1,0,0,1
"Reynolds,Pat",1,0,0,1
"Smerdon,D",1,0,0,1
"Ribbegren,Carl",1,0,0,1
"Rohit,G",1,0,0,1
"Skrondal,I",1,0,0,1
"Roiz,M",1,0,0,1
"Rowson,J",1,0,0,1
"Pavlovic,Mi",1,0,0,1
"Shirazi,K",1,0,0,1
"Rublevsky,S",1,0,0,1
"Shimanov,A",1,0,0,1
"Sachdev,T",1,0,0,1
"Sahl,Bj",1,0,0,1
"Sedina,E",1,0,0,1
"Schlecht,D",1,0,0,1
"Schandorff,L",1,0,0,1
"Sammalvuo,N",1,0,0,1
"Sasikiran,K",1,0,0,1
"Sanal,V",1,0,0,1
"Ramirez,Al",1,0,0,1
"Rakhmanov,Ale",1,0,0,1
"Rahman,Zia",1,0,0,1
"Ragger,M",1,0,0,1
"Pavlovic,Milo",1,0,0,1
"Yoo,Christopher Woojin",1,0,0,1
"Pedersen,Ch",1,0,0,1
"Sarrau,J",1,0,0,1
"Pedersen,Kenneth",1,0,0,1
"Pedersen,Nic",1,0,0,1
"Pedersen,Stef",1,0,0,1
"Svensen,T",1,0,0,1
"Perelshteyn,E",1,0,0,1
"Susilodinata,A",1,0,0,1
"Petrov,M",1,0,0,1
"Stupak,K",1,0,0,1
"Pogosyan,Stefan",1,0,0,1
"Stefanova,A",1,0,0,1
"Speelman,J",1,0,0,1
"Sorensen,H",1,0,0,1
"Yurtaev,L",1,0,0,1
"Solozhenkin,E",1,0,0,1
"Solak,D",1,0,0,1
"Sokolovsky,Yahli",1,0,0,1
"Pruijssers,R",1,0,0,1
Zhao Zong Yuan,1,0,0,1
"Radojicic,Aleksandar",1,0,0,1
"Winants,L",1,0,0,1
"Aagaard,J",1,0,0,1
"Mitrabha,G",1,0,0,1
"Egeli,P",1,0,0,1
"Fedorov,Alex",1,0,0,1
"Estremera Panos,S",1,0,0,1
"Ernst,S",1,0,0,1
"Erigaisi,Arjun",1,0,0,1
"Erenburg,S",1,0,0,1
"Epishin,V",1,0,0,1
"Ellingsen,R",1,0,0,1
"Ekeberg,C",1,0,0,1
"Egeland,Marte",1,0,0,1
"Gukesh,D",1,0,0,1
"Edvardsen,R",1,0,0,1
"Dudukin,Ilya",1,0,0,1
"Dourerassou,J",1,0,0,1
"Doostkam,P",1,0,0,1
"Delgado Ramirez,N",1,0,0,1
"Deac,Bogdan-Daniel",1,0,0,1
"Corrales Jimenez,F",1,0,0,1
