opponent,total_matches
"Yatzenko,A",1
"Yanchenko,R",1
"Winants,L",1
"Vokhidov,Shamsiddin",1
"Wilson,Rainn",1
"Willumsen,Niels Henrik",1
"Wiebe,Isaac",1
"Werle,J",1
"Weeks,Ma",1
"Ward,C",1
"Wagner,De",1
"Wachinger,G",1
"Stubberud,O",1
"Stokke,K",1
"Stojanovski,D",1
"Rustemov,A",1
"Schewe,Joerg",1
"Scheffknecht,P",1
"Schandorff,L",1
"Sargissian,G",1
"Salgado Lopez,I",1
"Sala Samarra,Ivet",1
"Sahidi,Samir",1
"Sadorra,J",1
"Runde,HA",1
"Stellwagen,D",1
"Rukovci,Shemsi",1
"Rublevsky,S",1
"Rozentalis,E",1
"Royset,P",1
"Riley,Jonathan",1
"Rekola,Kimmo",1
"Rause,O",1
"Ramya,S",1
"Schitco,Ivan",1
"Schneider,Il",1
"Sebenik,M",1
"Shaposhnikov,E",1
"Stanojoski,Z",1
"Spoelman,W",1
"Solsky,Itzhak",1
"Sollid,Stein",1
"Solak,D",1
"Sokolov,Ivan",1
"Sokolov,I",1
"Snarheim,D",1
"Sloan,Jed David",1
"Skliarov,V",1
"Skjoldan,B",1
"Sjkadiuk,Aleksander",1
"Shuvalova,Polina",1
"Shumiakina,T",1
"Shipov,S",1
"Shimanov,A",1
"Shevchenko,Kirill",1
"Nilssen,J",1
"Lei,Tingjie",1
"Nijboer,F",1
"Flaata,A",1
"Fant,G",1
"Etmans,M",1
"Ernst,S",1
"Erigaisi,Arjun",1
"Epishin,V",1
"Elsness,F",1
"El Debs,F",1
"Ehlvest,J",1
"Egeland,M",1
"Efimenko,Z",1
"Dworakowska,J",1
"Drozdowski,K",1
"Drabke,L",1
"Dolmatov,S",1
"Dimitriadis,M",1
"Diamant,A",1
"Demidov,M",1
"Deepan,C",1
"Deac,Bogdan-Daniel",1
"Finegold,B",1
"Flores Rios,M",1
"Nakamura,H",1
"Fossan,E",1
"Gupta,Ab",1
"Gunnarsson,J",1
"Gullaksen,E",1
"Gulbrandsen,Gustav",1
"Gukesh,D",1
"Gudbrandsen,G",1
"Grojean,Andrew",1
"Groenn,A",1
"Grigoriants,S RUS",1
"Grigore,Ge",1
"Gretarsson,H",1
"Gorozhanin,M",1
"Goldman,Bjoern",1
"Ghosh,D",1
"Ghaem Maghami,E",1
"Georgiev,Vl",1
"Georgiev,Ki",1
"Georgiadis,N",1
"Gabrielsen,S",1
"Daly,C",1
"Crumiller, Jon",1
"Cornette,M",1
"Cordova,E",1
"Bekker Jensen,Anders",1
"Beerdsen,Thomas",1
"Bauer,Ch",1
"Batsuren,Dambasuren",1
"Batsiashvili,N",1
"Baramidze,D",1
"Balogun,Oluwafemi",1
"Bae,T",1
"Azarov,S",1
"Avrukh,B",1
"Arduman,C",1
"Andersson,U",1
"Andersen,A",1
"Anagnostopoulos,D",1
"Amin,B",1
"Aldrovandi,C",1
"Akopian,Vl",1
"Agrest,E",1
"Adly,A",1
"Belov,Vl",1
"Berg,O",1
"Berkowitz,Ben",1
"Bruzon,L",1
"Coleman,T",1
"Cmilyte,V",1
"Christenson,F",1
"Chadaev,N",1
"Carlsen,H",1
"Caoili,A",1
"Calzetta,M",1
"Burmakin,V",1
"Bromberger,S",1
"Bindrich,F",1
"Breivik,Lars",1
"Brameld,A",1
"Bosiocic,Mari",1
"Boruchovsky,A",1
"Bok,B",1
"Bluvshtein,M",1
"Bjerre,Jonas Buhl",1
"Birkisson,Bardur Orn",1
"Gurevich,D",1
"Gurevich,M",1
"Hambleton,A",1
"Kovalev,Vl",1
"Madsen,D",1
"Llobel Cortell,E",1
"Ljubojevic,L",1
"Ljubisavljevic,Z",1
"Livshits,G",1
"Liang,Awonder",1
"Lenic,L",1
"Leitao,R",1
"Abdumalik,Z",1
"Leer Salvesen,B",1
"Laznicka,V",1
"Lautier,J",1
"Lalith,B",1
LakeMonster,1
"Lahlum,H",1
"Kveinys,A",1
"Kryvoruchko,Y",1
"Krsnik Cohar,I",1
"Krivoborodov,E",1
"Maeder,Torsten",1
"Manfay,M",1
"Manne,P",1
"Mishra,Abhimanyu",1
"Muzychuk,A",1
"Movsziszian,K",1
"Moskow,E",1
"Moiseenko,A1",1
"Mohammad,Nubairshah Shaikh",1
"Moen,A",1
"Mitrabha,G",1
"Miton,K",1
"Miezis,N",1
"Manukian,Ar",1
"Miellet Bensan,Y",1
"Meshkovs,Nikita",1
"Mendonca,Leon Luke",1
"Mekhitarian,K",1
"Marx,Soeren",1
"Martyr,Reginald",1
"Martinovic,Sa",1
"Marin,M",1
"Kristjansson,S",1
"Kotsur,P",1
"Hansen,LB",1
"Kotronias,V",1
"Indrebo,Kyrre",1
"Ibraev,N",1
"Hracek,Z",1
"Hossain,Enam",1
"Holm,Kristian Stuvik",1
"Hobber,A",1
"Hjelm,N",1
"Hillarp Persson,T",1
"Hevia,A",1
"Hermansson,E",1
"Henriquez Villagra,C",1
"Heim,S",1
"Hassan,Sampath Santosh",1
"Hartveit,Emil",1
"Harsha,B",1
"Harestad,H",1
"Hansen,Vi",1
"Hansen,TR",1
"Hansen,Pa",1
"Iordachescu,V",1
"Isonzo,D",1
"Ivanisevic,I",1
"Karelina,Polina",1
"Korotylev,A",1
"Kobalia,M",1
"Kjartansson,D",1
"Kiik,K",1
"Kharlov,A",1
"Khalifman,A",1
"Kasparov,G",1
"Karttunen,M",1
"Kalinitschew,S",1
"Jangle,Hemang J",1
"Jumabayev,R",1
"Ju,Wenjun",1
"Jones,RS",1
"Johansson,P",1
"Johansen,SA",1
"Johansen,KR",1
"Johannessen,LE",1
"Janssen,R",1
"Zoler,D",1
