opponent,total_matches,wins,losses,draws
"Praszak,M",1,0,0,1
"Nunn,J",1,0,0,1
"Pedersen,Stef",1,0,0,1
"Nyysti,S",1,0,0,1
"Olafsson,H1",1,0,0,1
"Pechac,Jergus",1,0,0,1
"Payen,A",1,0,0,1
"Pavasovic,D",1,0,0,1
Peng Zhaoqin,1,0,0,1
"Papaioannou,I",1,0,0,1
"Perman,E",1,0,0,1
"Petersen,Caleb",1,0,0,1
"Papa,S",1,0,0,1
"Petrosyan,M",1,0,0,1
"Petrov,N",1,0,0,1
"Plachkinova,T",1,0,0,1
"Pantzar,Milton",1,0,0,1
"Pantsulaia,L",1,0,0,1
"Panda,Vedic",1,0,0,1
"Ostmoe,G",1,0,0,1
"Popov,Iv RUS",1,0,0,1
"Popov,Val",1,0,0,1
"Porat,S",1,0,0,1
"Portisch,L",1,0,0,1
"Potapov,P",1,0,0,1
"Osinovsky,S",1,0,0,1
"Onischuk,V",1,0,0,1
"Olszewski,Mi",1,0,0,1
"Pedersen,Nic",1,0,0,1
"Aarland,SA",1,0,0,1
Rajarishi Karthi,1,0,0,1
"Tryggestad,Andreas Garberg",1,0,0,1
"Vescovi,G",1,0,0,1
"Vegh,E",1,0,0,1
"Vassallo,M",1,0,0,1
"Vajda,S",1,0,0,1
"Vaishali,R",1,0,0,1
"Utegaliyev,A",1,0,0,1
"Urkedal,F",1,0,0,1
"Tsydypov,Z",1,0,0,1
"Tjomsland,S",1,0,0,1
"Vladimirov,E",1,0,0,1
"Tiviakov,S",1,0,0,1
"Thorhallsson,T",1,0,0,1
The Net,1,0,0,1
"Teterev,V",1,0,0,1
"Taylor,T",1,0,0,1
"Sychev,K",1,0,0,1
"Sutovsky,E",1,0,0,1
"Sulskis,S",1,0,0,1
"Vidoniak,R",1,0,0,1
"Vlassov,N",1,0,0,1
"Ramirez Garrastacho,M",1,0,0,1
"Xu,Grant Y",1,0,0,1
Zhao Zong Yuan,1,0,0,1
Zhang Pengxiang,1,0,0,1
"Zakharov,AS",1,0,0,1
"Yuffa,D",1,0,0,1
"Yip,Carissa",1,0,0,1
"Yilmaz,M",1,0,0,1
"Yatzenko,A",1,0,0,1
"Yanchenko,R",1,0,0,1
"Winants,L",1,0,0,1
"Vokhidov,Shamsiddin",1,0,0,1
"Wilson,Rainn",1,0,0,1
"Willumsen,Niels Henrik",1,0,0,1
"Wiebe,Isaac",1,0,0,1
"Werle,J",1,0,0,1
"Weeks,Ma",1,0,0,1
"Ward,C",1,0,0,1
"Wagner,De",1,0,0,1
